Species	South_China_Sea	Sunda_Shelf	Java_Transitional	South_Kuroshio	Tropical_Northwestern_Pacific	Western_Coral_Triangle	Eastern_Coral_Triangle	Sahul_Shelf	Northeast_Australian_Shelf	Northwest_Australian_Shelf	Tropical_Southwestern_Pacific	Lord_Howe_and_Norfolk_Islands	Hawaii	Marshall_Gilbert_and_Ellis_Islands	Central_Polynesia	Southeast_Polynesia	Marquesas	Easter_Island
Cheilodactylus quadricornis	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheilodactylus rubrolabiatus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cheilodactylus vestitus	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0
Cheilodactylus zebra	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheilodactylus zonatus	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheilodipterus alleni	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0
Cheilodipterus arabicus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cheilodipterus artus	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0
Cheilodipterus intermedius	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0
Cheilodipterus isostigmus	0	1	0	0	1	1	1	1	0	1	1	0	0	1	1	0	0	0
Cheilodipterus lachneri	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cheilodipterus macrodon	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0
Cheilodipterus nigrotaeniatus	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Cheilodipterus parazonatus	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
Cheilodipterus quinquelineatus	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0
Cheilodipterus singapurensis	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0
Cheilodipterus zonatus	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0
Cheilopogon suttoni	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cheiloprion labiatus	0	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0
Chelmon marginalis	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
Chelmon muelleri	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Chelmon rostratus	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Chelmonops curiosus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Chelon macrolepis	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0
Chelon subviridis	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0
Chelonodon dapsilis	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Chelonodon patoca	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
Cheroscorpaena tridactyla	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0
Chilomycterus reticulatus	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1
Chilorhinus platyrhynchus	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
Chiloscyllium griseum	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Chiloscyllium indicum	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Chiloscyllium plagiosum	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Chiloscyllium punctatum	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Chirocentrus dorab	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0
Chironemus marmoratus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Chlopsis dentatus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Chlorurus bleekeri	0	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0
Chlorurus bowersi	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0
Chlorurus capistratoides	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Chlorurus enneacanthus	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlorurus frontalis	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	0
Chlorurus gibbus	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Chlorurus japanensis	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	0	0
Chlorurus microrhinos	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0
Chlorurus oedema	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Chlorurus perspicillatus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Chlorurus rhakoura	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Chlorurus sordidus	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Chlorurus strongylocephalus	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlorurus troschelii	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Choerodon anchorago	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0
Choerodon azurio	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Choerodon balerensis	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Choerodon cauteroma	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Choerodon cephalotes	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Choerodon cyanodus	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
Choerodon fasciatus	0	1	0	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0
Choerodon frenatus	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
Choerodon gomoni	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
Choerodon graphicus	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0
Choerodon gymnogenys	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Choerodon jordani	0	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	0
Choerodon margaritiferus	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Choerodon melanostigma	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Choerodon monostigma	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Choerodon oligacanthus	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Choerodon paynei	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Choerodon robustus	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Choerodon rubescens	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Choerodon schoenleinii	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0
Choerodon sugillatum	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
Choerodon venustus	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Choerodon vitta	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
Choerodon zamboangae	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
Choerodon zosterophorus	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Choeroichthys brachysoma	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0
Choeroichthys cinctus	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0
Choeroichthys latispinosus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Choeroichthys sculptus	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0
Choeroichthys suillus	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
Chromis abrupta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Chromis acares	0	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0
Chromis agilis	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	1	0	0
Chromis albicauda	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Chromis albomaculata	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromis alleni	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromis alpha	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0
Chromis amboinensis	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0
Chromis analis	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0
Chromis athena	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Chromis atripectoralis	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0
Chromis atripes	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0
Chromis bami	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Chromis brevirostris	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0
Chromis caudalis	0	1	1	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0
Chromis chrysura	0	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0
Chromis cinerascens	1	1	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0
Chromis delta	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0
Chromis dimidiata	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromis elerae	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0
Chromis fatuhivae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Chromis flavapicis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Chromis flavipectoralis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromis flavomaculata	0	1	0	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0
Chromis fumea	0	1	0	1	0	1	1	0	0	1	1	1	0	0	1	0	0	0
Chromis hanui	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Chromis hypsilepis	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0
Chromis iomelas	0	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0	0
Chromis lepidolepis	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0
Chromis leucura	0	1	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0
Chromis lineata	0	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0
Chromis margaritifer	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0
Chromis mirationis	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0
Chromis monochroma	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Chromis nigroanalis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromis nigrura	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromis nitida	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0
Chromis notata	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
Chromis onumai	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromis opercularis	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Chromis ovalis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Chromis ovatiformes	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Chromis pamae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Chromis planesi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Chromis pura	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Chromis randalli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Chromis retrofasciata	0	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0
Chromis scotochiloptera	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
Chromis struhsakeri	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Chromis ternatensis	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0
Chromis vanderbilti	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Chromis verater	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Chromis viridis	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0
Chromis weberi	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0
Chromis westaustralis	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Chromis xanthochira	1	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0
Chromis xanthura	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0
Chromis xouthos	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromis xutha	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chrysiptera albata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Chrysiptera arnazae	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Chrysiptera biocellata	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0
Chrysiptera bleekeri	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Chrysiptera brownriggii	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
Chrysiptera caeruleolineata	0	0	0	1	1	1	1	0	1	1	1	0	0	1	1	0	0	0
Chrysiptera cyanea	0	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0
Chrysiptera cymatilis	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Chrysiptera flavipinnis	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0
Chrysiptera galba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Chrysiptera giti	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Chrysiptera glauca	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0
Chrysiptera hemicyanea	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0
Chrysiptera kuiteri	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Chrysiptera niger	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Chrysiptera notialis	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Chrysiptera oxycephala	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
Chrysiptera parasema	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Chrysiptera pricei	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Chrysiptera rapanui	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Chrysiptera rex	0	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0
Chrysiptera rollandi	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0
Chrysiptera sinclairi	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
Chrysiptera springeri	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Chrysiptera starcki	0	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0
Chrysiptera talboti	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0
Chrysiptera taupou	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0	0
Chrysiptera traceyi	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0
Chrysiptera tricincta	0	0	0	1	1	1	1	0	1	0	1	0	0	0	1	0	0	0
Chrysiptera unimaculata	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	0
Chrysophrys major	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus adornatus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus aurantidorsalis	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus balteatus	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0
Cirrhilabrus bathyphilus	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0
Cirrhilabrus beauperryi	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus brunneus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus claire	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Cirrhilabrus condei	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0
Cirrhilabrus cyanopleura	0	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0
Cirrhilabrus earlei	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
Cirrhilabrus exquisitus	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0
Cirrhilabrus filamentosus	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus flavidorsalis	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0
Cirrhilabrus joanallenae	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus johnsoni	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Cirrhilabrus jordani	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Cirrhilabrus katherinae	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus katoi	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus laboutei	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0
Cirrhilabrus lanceolatus	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus lineatus	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0
Cirrhilabrus lubbocki	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus lunatus	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus luteovittatus	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0
Cirrhilabrus marjorie	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Cirrhilabrus melanomarginatus	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus morrisoni	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus naokoae	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus punctatus	0	0	0	0	0	1	1	0	1	1	1	1	0	1	1	1	0	0
Cirrhilabrus pylei	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
Cirrhilabrus randalli	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0
Cirrhilabrus rhomboidalis	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0
Cirrhilabrus roseafascia	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0
Cirrhilabrus rubrimarginatus	0	1	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0
Cirrhilabrus rubripinnis	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus rubriventralis	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus scottorum	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0
Cirrhilabrus solorensis	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus temminckii	0	1	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0	0
Cirrhilabrus tonozukai	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus walindi	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus walshi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Cirrhimuraena calamus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cirrhimuraena cheilopogon	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Cirrhimuraena chinensis	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Cirrhimuraena inhacae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhimuraena oliveri	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhimuraena playfairii	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Cirrhimuraena tapeinoptera	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhitichthys aprinus	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0
Cirrhitichthys aureus	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cirrhitichthys falco	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0
Cirrhitichthys oxycephalus	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0
Cirrhitops fasciatus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Cirrhitops hubbardi	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0
Cirrhitus albopunctatus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Cirrhitus pinnulatus	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
Cirricaecula johnsoni	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cirripectes alboapicalis	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1
Cirripectes alleni	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cirripectes auritus	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Cirripectes castaneus	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0
Cirripectes chelomatus	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0
Cirripectes filamentosus	1	1	0	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0
Cirripectes fuscoguttatus	0	1	0	0	1	1	1	0	0	0	1	0	0	1	1	1	0	0
Cirripectes gilberti	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0
Cirripectes hutchinsi	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cirripectes imitator	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Cirripectes jenningsi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Cirripectes kuwamurai	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cirripectes obscurus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Cirripectes perustus	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0
Cirripectes polyzona	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0
Cirripectes quagga	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	0
Cirripectes springeri	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0
Cirripectes stigmaticus	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	0
Cirripectes vanderbilti	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Cirripectes variolosus	0	0	0	0	1	1	1	0	0	0	1	0	1	1	1	1	1	0
Cirripectes viriosus	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cirrisalarias bunares	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0
Clariger cosmurus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clariger exilis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clariger papillosus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cleidopus gloriamaris	0	1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0
Clupanodon thrissa	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cnidoglanis macrocephalus	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Cociella crocodilus	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Cociella punctata	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0
Cocotropus larvatus	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0
Coilia mystus	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conger cinereus	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Conger japonicus	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Conger oligoporus	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
Conger verreauxi	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0
Conger wilsoni	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0
Congrogadus amplimaculatus	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
Congrogadus hierichthys	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Congrogadus malayanus	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
Congrogadus spinifer	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0
Congrogadus subducens	0	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Congrogadus winterbottomi	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Conidens laticephalus	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Conidens samoensis	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
Conniella apterygia	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0
Cookeolus japonicus	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Coradion altivelis	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
Coradion chrysozonus	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
Coradion melanopus	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Coranthus polyacanthus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coris auricularis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Coris aurilineata	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0
Coris aygula	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Coris ballieui	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Coris batuensis	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0
Coris bulbifrons	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Coris caudimacula	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
Coris centralis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Coris cuvieri	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Coris debueni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
